Dates,NORMAL(mm) ,ACTUAL(mm)
13-Feb-21,0,0
14-Feb-21,0,0
15-Feb-21,0,0
16-Feb-21,0,0.37
17-Feb-21,0,0.55
18-Feb-21,0,0.14
19-Feb-21,0,0
20-Feb-21,0,0
21-Feb-21,0,0
22-Feb-21,0,0
23-Feb-21,0,0
24-Feb-21,0,0
25-Feb-21,0,0
26-Feb-21,0,0
27-Feb-21,0,0
28-Feb-21,0,2.21
01-Mar-21,0,5.13
02-Mar-21,0,0.85
03-Mar-21,0,1.98
04-Mar-21,0,0.71
05-Mar-21,0,8.4
06-Mar-21,0,3.76
07-Mar-21,0,10.12
08-Mar-21,0,0.01
09-Mar-21,0,0
10-Mar-21,0,0.12
11-Mar-21,0,1.38
12-Mar-21,0,0.47
13-Mar-21,0,0
14-Mar-21,0,2.21
15-Mar-21,0,1.74
16-Mar-21,0,0.44
17-Mar-21,0,0
18-Mar-21,0,0
19-Mar-21,0,0
20-Mar-21,0,0
21-Mar-21,0,0.41
22-Mar-21,0,1.4
23-Mar-21,0,0
24-Mar-21,0,0
25-Mar-21,0,8.65
26-Mar-21,0,0
27-Mar-21,0,0
28-Mar-21,0,0
29-Mar-21,0,0
30-Mar-21,0,1.73
31-Mar-21,0,4.93
01-Apr-21,0,19.48
02-Apr-21,0,6.79
03-Apr-21,0,0.53
04-Apr-21,0,0
05-Apr-21,0,0.11
06-Apr-21,0,0
07-Apr-21,0,0
08-Apr-21,0,0.97
09-Apr-21,0,5.82
10-Apr-21,0,10.66
11-Apr-21,0,9.71
12-Apr-21,0,5.84
13-Apr-21,0,0.93
14-Apr-21,0,8.61
15-Apr-21,0,0
16-Apr-21,0,3.71
17-Apr-21,0,0.87
18-Apr-21,0,0.68
19-Apr-21,0,4.92
20-Apr-21,0,4.57
21-Apr-21,0,1.01
22-Apr-21,0,1.1
23-Apr-21,0,5.47
24-Apr-21,0,0
25-Apr-21,0,0
26-Apr-21,0,0
28-Apr-21,0,0.95
29-Apr-21,0,7.09
30-Apr-21,0,0
01-May-21,0,0
02-May-21,0,3.97
03-May-21,0,1.32
04-May-21,0,1.46
05-May-21,0,0.74
06-May-21,0,6.54
07-May-21,0,0.33
08-May-21,0,0.77
09-May-21,0,2.66
11-May-21,0,9.14
12-May-21,0,4.86
13-May-21,0,2.02
14-May-21,0,14.22
15-May-21,0,28.88
16-May-21,0,16.7
17-May-21,0,8.71
18-May-21,0,5.37
19-May-21,0,28.94
20-May-21,0,47.54
21-May-21,0,15.12
22-May-21,0,29.93
23-May-21,0,6.58
25-May-21,0,0.78
26-May-21,0,1.32
27-May-21,0,8.16
28-May-21,0,0.53
29-May-21,0,0.15
30-May-21,0,6.64
31-May-21,0,15.46
01-Jun-21,0,15.43
02-Jun-21,0,5.09
03-Jun-21,0,17.38
04-Jun-21,0,25.5
05-Jun-21,0,14.04
06-Jun-21,0,24.91
07-Jun-21,0,22.01
08-Jun-21,0,13.8
09-Jun-21,0,3.27
10-Jun-21,0,2.29
11-Jun-21,0,14.33
13-Jun-21,0,1.51
14-Jun-21,0,4.3
15-Jun-21,0,9.84
16-Jun-21,0,1.86
17-Jun-21,0,7.53
18-Jun-21,0,10.37
19-Jun-21,0,16.83
20-Jun-21,0,36.29
22-Jun-21,0,0.64
26-Jun-21,0,2.15
27-Jun-21,0,9.36
28-Jun-21,0,6.5
30-Jun-21,0,5.97
01-Jul-21,0,10.56
02-Jul-21,0,17.76
03-Jul-21,0,1.06
04-Jul-21,0,10.85
05-Jul-21,0,2.55
06-Jul-21,0,10.03
07-Jul-21,0,9.16
08-Jul-21,0,4.47
09-Jul-21,0,3.31
10-Jul-21,0,3.65
11-Jul-21,0,2.57
12-Jul-21,0,1.5
13-Jul-21,0,2.32
16-Jul-21,0,9.59
17-Jul-21,0,15.49
18-Jul-21,0,2.15
19-Jul-21,0,0.38
20-Jul-21,0,5.79
21-Jul-21,0,5.39
22-Jul-21,0,1.05
23-Jul-21,0,7.42
24-Jul-21,0,6.24
25-Jul-21,0,20.09
26-Jul-21,0,8.82
27-Jul-21,0,1.02
28-Jul-21,0,0.43
29-Jul-21,0,1.82
30-Jul-21,0,9.1
31-Jul-21,0,0.82
01-Aug-21,0,30.47
02-Aug-21,0,0.94
03-Aug-21,0,0.29
04-Aug-21,0,6.24
05-Aug-21,0,7.16
06-Aug-21,0,17.86
07-Aug-21,0,9.09
08-Aug-21,0,23.68
09-Aug-21,0,21.51
10-Aug-21,0,10.14
11-Aug-21,0,6.19
12-Aug-21,0,19.36
13-Aug-21,0,33.02
14-Aug-21,0,15.8
15-Aug-21,0,13.5
16-Aug-21,0,1.01
17-Aug-21,0,16.14
18-Aug-21,0,12.78
19-Aug-21,0,36.4
20-Aug-21,0,16.87
21-Aug-21,0,5.94
22-Aug-21,0,7.52
23-Aug-21,0,17.37
24-Aug-21,0,7.97
25-Aug-21,0,10.7
26-Aug-21,0,20.05
27-Aug-21,0,15.73
28-Aug-21,0,4.43
29-Aug-21,0,1.83
30-Aug-21,0,0.3
31-Aug-21,0,9.4
01-Sep-21,0,1.86
02-Sep-21,0,0.79
03-Sep-21,0,0.61
04-Sep-21,0,0.07
05-Sep-21,0,0.02
06-Sep-21,0,0.16
07-Sep-21,0,8.92
08-Sep-21,0,5.08
09-Sep-21,0,9.01
10-Sep-21,0,0.16
11-Sep-21,0,0.61
12-Sep-21,0,0.05
13-Sep-21,0,0
14-Sep-21,0,2.19
15-Sep-21,0,0.58
16-Sep-21,0,10.12
17-Sep-21,0,23.18
18-Sep-21,0,2.65
19-Sep-21,0,2.85
20-Sep-21,0,0
21-Sep-21,0,0
22-Sep-21,0,3.62
23-Sep-21,0,0.83
24-Sep-21,0,1.6
25-Sep-21,0,0
26-Sep-21,0,0.3
27-Sep-21,0,2.39
28-Sep-21,0,1.13
29-Sep-21,0,22.5
30-Sep-21,0,0.09
01-Oct-21,0,1.77
02-Oct-21,0,0.72
03-Oct-21,0,24.65
04-Oct-21,0,5.61
05-Oct-21,0,5.94
06-Oct-21,0,0.34
07-Oct-21,0,0.51
08-Oct-21,0,0.01
09-Oct-21,0,1.26
10-Oct-21,0,0
11-Oct-21,0,0
12-Oct-21,0,0
13-Oct-21,0,0
14-Oct-21,0,0
15-Oct-21,0,0
16-Oct-21,0,0
17-Oct-21,0,0.48
18-Oct-21,0,0.3
19-Oct-21,0,20.79
20-Oct-21,0,7.71
21-Oct-21,0,10.43
22-Oct-21,0,5.91
23-Oct-21,0,0.2
24-Oct-21,0,0.05
25-Oct-21,0,0
26-Oct-21,0,0.09
27-Oct-21,0,0
28-Oct-21,0,0
29-Oct-21,0,0
30-Oct-21,0,0
31-Oct-21,0,0
01-Nov-21,0,0.86
02-Nov-21,0,0
03-Nov-21,0,0
04-Nov-21,0,0.06
05-Nov-21,0,0
06-Nov-21,0,0
07-Nov-21,0,0
08-Nov-21,0,0
09-Nov-21,0,0
10-Nov-21,0,0
11-Nov-21,0,0
12-Nov-21,0,0
13-Nov-21,0,0
14-Nov-21,0,0
15-Nov-21,0,0
16-Nov-21,0,0
17-Nov-21,0,0
18-Nov-21,0,0
19-Nov-21,0,0
20-Nov-21,0,0
21-Nov-21,0,0
22-Nov-21,0,0
23-Nov-21,0,4.84
24-Nov-21,0,1.06
25-Nov-21,0,0.28
26-Nov-21,0,0.65
27-Nov-21,0,0.85
28-Nov-21,0,0.43
29-Nov-21,0,0
30-Nov-21,0,0
01-Dec-21,0,0
02-Dec-21,0,0
03-Dec-21,0,0
04-Dec-21,0,0
05-Dec-21,0,0
06-Dec-21,0,0
07-Dec-21,0,0
08-Dec-21,0,0.3
09-Dec-21,0,0.37
10-Dec-21,0,0
11-Dec-21,0,16.96
12-Dec-21,0,0.11
13-Dec-21,0,0
14-Dec-21,0,0
15-Dec-21,0,0
16-Dec-21,0,0
17-Dec-21,0,0
18-Dec-21,0,0
19-Dec-21,0,0
20-Dec-21,0,0
21-Dec-21,0,0
22-Dec-21,0,0
23-Dec-21,0,0.32
24-Dec-21,0,0
25-Dec-21,0,0.15
26-Dec-21,0,0.01
27-Dec-21,0,0.32
28-Dec-21,0,0
29-Dec-21,0,0
30-Dec-21,0,0
31-Dec-21,0,1.23
01-Jan-22,0,0.11
02-Jan-22,0,0
03-Jan-22,0,0
04-Jan-22,0,0.2
05-Jan-22,0,0.2
06-Jan-22,0,0
07-Jan-22,0,0
08-Jan-22,0,0
09-Jan-22,0,0
10-Jan-22,0,0
11-Jan-22,0,0
12-Jan-22,0,4.64
13-Jan-22,0,12.64
14-Jan-22,0,0.21
15-Jan-22,0,0
16-Jan-22,0,0
17-Jan-22,0,0
18-Jan-22,0,0
19-Jan-22,0,0
20-Jan-22,0,0
21-Jan-22,0,0.49
22-Jan-22,0,0.1
23-Jan-22,0,0.26
24-Jan-22,0,0.07
25-Jan-22,0,0.12
26-Jan-22,0,4.81
27-Jan-22,0,2.48
28-Jan-22,0,8.02
29-Jan-22,0,0
30-Jan-22,0,0
31-Jan-22,0,0
01-Feb-22,0,1.64
02-Feb-22,0,8.21
03-Feb-22,0,0.32
04-Feb-22,0,0
05-Feb-22,0,10.51
06-Feb-22,0,14.93
07-Feb-22,0,0
08-Feb-22,0,0.94
09-Feb-22,0,0
10-Feb-22,0,0.16
11-Feb-22,0,1.42
12-Feb-22,0,3.31
13-Feb-22,0,0
14-Feb-22,0,0
16-Feb-22,0,0
17-Feb-22,0,0
18-Feb-22,0,0.2
19-Feb-22,0,0
20-Feb-22,0,4.82
21-Feb-22,0,14.43
22-Feb-22,0,2.7
23-Feb-22,0,0
24-Feb-22,0,0
25-Feb-22,0,1.65
26-Feb-22,0,4.91
27-Feb-22,0,0.62
28-Feb-22,0,2.2
01-Mar-22,0,0.51
02-Mar-22,0,0
