Dates,NORMAL(mm),ACTUAL(mm) 
14-Sep-20,11.1,2.67
15-Sep-20,12.4,23.77
16-Sep-20,12.6,28.43
17-Sep-20,13.5,23.81
18-Sep-20,7.1,4.86
19-Sep-20,8.8,0
20-Sep-20,4.4,0
21-Sep-20,9.8,0.53
22-Sep-20,8.5,36.63
23-Sep-20,6.3,41.51
24-Sep-20,1.6,36.99
25-Sep-20,5.9,32.24
26-Sep-20,5.9,22.75
27-Sep-20,6.4,20.93
28-Sep-20,4.7,0.33
29-Sep-20,7.3,0
30-Sep-20,6.3,0
01-Oct-20,2.4,0
02-Oct-20,6,0.04
03-Oct-20,7.8,1.39
04-Oct-20,9.2,0
05-Oct-20,8.9,1.49
06-Oct-20,3.8,2.09
07-Oct-20,2.6,3.4
08-Oct-20,6.8,3.31
09-Oct-20,6.3,0.06
10-Oct-20,9.6,0
11-Oct-20,5.8,0
12-Oct-20,3.6,0
13-Oct-20,1.8,0
14-Oct-20,2.5,0
15-Oct-20,1.6,0
16-Oct-20,2.5,0
17-Oct-20,1.3,0
18-Oct-20,0.5,0
19-Oct-20,0.3,0
20-Oct-20,1.8,0
21-Oct-20,3.5,0
22-Oct-20,5.9,0
23-Oct-20,3.7,6.14
24-Oct-20,0.9,38.85
25-Oct-20,3,2.36
26-Oct-20,2.1,0.09
27-Oct-20,0.9,0.91
28-Oct-20,0,0
29-Oct-20,0.4,0
30-Oct-20,0.4,0
31-Oct-20,0.6,0
01-Nov-20,0.9,0
02-Nov-20,0.6,0
03-Nov-20,0.4,0
04-Nov-20,0,0
05-Nov-20,0.1,0
06-Nov-20,0.2,0
07-Nov-20,0,0
08-Nov-20,0.9,0
09-Nov-20,1.4,0
10-Nov-20,1.2,0
11-Nov-20,3.1,0
12-Nov-20,0,0
13-Nov-20,0.5,0
14-Nov-20,0.1,0
15-Nov-20,0.1,0
16-Nov-20,0.6,0
17-Nov-20,0.1,0
18-Nov-20,0.5,0
19-Nov-20,0.5,0
20-Nov-20,0.8,0
21-Nov-20,0.1,0
22-Nov-20,0.1,2.13
23-Nov-20,0,0
24-Nov-20,0,0
25-Nov-20,0.6,0
26-Nov-20,0.1,0
27-Nov-20,2.1,0
28-Nov-20,0.1,0
29-Nov-20,0.5,0
30-Nov-20,0,0
01-Dec-20,1.1,0
02-Dec-20,3.7,0
03-Dec-20,0,0
04-Dec-20,0,0
05-Dec-20,0.4,0
06-Dec-20,0.1,0.03
07-Dec-20,0,0
08-Dec-20,0.3,0
09-Dec-20,0,0
10-Dec-20,0,0
11-Dec-20,2,0
12-Dec-20,0.3,0
13-Dec-20,0.1,0
14-Dec-20,0,0
15-Dec-20,0.2,0
16-Dec-20,0,0
17-Dec-20,0.1,0
18-Dec-20,0.2,0
19-Dec-20,0,0
20-Dec-20,0,0
21-Dec-20,0,0
22-Dec-20,0,0
23-Dec-20,0,0
24-Dec-20,0,0
25-Dec-20,0,0
26-Dec-20,0,0
27-Dec-20,0.9,0
28-Dec-20,0.2,0
29-Dec-20,0,0
30-Dec-20,0,0
31-Dec-20,0.3,0
01-Jan-21,0.2,0
02-Jan-21,0,0
03-Jan-21,0.8,0
04-Jan-21,0.1,0
05-Jan-21,0.1,0
06-Jan-21,0,0
07-Jan-21,0.3,0
08-Jan-21,0.5,0
09-Jan-21,0,0
10-Jan-21,0,0
11-Jan-21,0.1,0
12-Jan-21,0,0
13-Jan-21,0.3,0.66
14-Jan-21,0.1,0
15-Jan-21,0,0
16-Jan-21,0.9,0
17-Jan-21,0.6,0
18-Jan-21,1.3,0
19-Jan-21,1.2,7.23
20-Jan-21,0.2,3.14
21-Jan-21,0.4,3.99
22-Jan-21,0.2,0
23-Jan-21,0.2,0
24-Jan-21,0,0
25-Jan-21,0.5,0
26-Jan-21,0,0
27-Jan-21,0,0
28-Jan-21,0.1,0
29-Jan-21,0.3,0
30-Jan-21,0.5,0
31-Jan-21,1.1,0
01-Feb-21,0.2,0
02-Feb-21,1.4,0
03-Feb-21,0,0
04-Feb-21,0.1,0
05-Feb-21,0.1,0
06-Feb-21,0.5,0
07-Feb-21,0.3,0
08-Feb-21,0.5,0
09-Feb-21,0.6,0
10-Feb-21,0.1,0
11-Feb-21,1.1,0
12-Feb-21,0.2,0
13-Feb-21,0.3,0
14-Feb-21,0.1,0
15-Feb-21,2.6,0
16-Feb-21,3.5,0
17-Feb-21,1,0
18-Feb-21,0.2,0
19-Feb-21,0.3,0
20-Feb-21,0.1,0
21-Feb-21,1.7,0
22-Feb-21,0.8,0
23-Feb-21,2.2,0
24-Feb-21,0.2,0
25-Feb-21,0.6,0
26-Feb-21,0.7,0.88
27-Feb-21,1.8,0.28
28-Feb-21,1.5,1.88
01-Mar-21,0.9,0.24
02-Mar-21,1.9,0
03-Mar-21,1.4,0
04-Mar-21,0.9,0
05-Mar-21,0.3,0
06-Mar-21,0.1,7.11
07-Mar-21,0.1,0.24
08-Mar-21,1.3,0
09-Mar-21,0.9,0
10-Mar-21,0.1,3.94
11-Mar-21,0.2,4.09
12-Mar-21,0,0
13-Mar-21,2.5,0
14-Mar-21,0.7,0.92
15-Mar-21,0.4,0
16-Mar-21,1.3,0
17-Mar-21,2.1,0
18-Mar-21,1,0
19-Mar-21,3.2,0
20-Mar-21,6.1,0
21-Mar-21,1.4,0
22-Mar-21,2.6,0
23-Mar-21,1.6,0
24-Mar-21,2.8,0
25-Mar-21,2.4,0
26-Mar-21,1.3,0
27-Mar-21,7.6,0
28-Mar-21,1.7,0
29-Mar-21,1.3,0
30-Mar-21,1.1,1.69
31-Mar-21,5.5,9.02
01-Apr-21,4.3,3.87
02-Apr-21,2.8,0
03-Apr-21,3.1,0.04
04-Apr-21,2.2,0
05-Apr-21,7.1,0.29
06-Apr-21,3.2,0
07-Apr-21,2.8,0
08-Apr-21,2.9,2.81
09-Apr-21,6.1,0.23
10-Apr-21,7.5,0
