Dates,NORMAL(mm) ,ACTUAL(mm) 
16-Apr-21,0.3,0
17-Apr-21,0.2,0
18-Apr-21,0.5,0
19-Apr-21,0.2,0
20-Apr-21,0.1,0
21-Apr-21,0.2,0
22-Apr-21,0.3,10.23
23-Apr-21,0.4,0
24-Apr-21,0.5,0
25-Apr-21,0.7,0
26-Apr-21,0.1,0
28-Apr-21,0,0
29-Apr-21,0.4,0
30-Apr-21,0.2,0
01-May-21,1,0
02-May-21,0.4,0
03-May-21,0.4,0.05
04-May-21,1.4,0
05-May-21,0.1,0
06-May-21,1,0
07-May-21,0.1,5.56
08-May-21,0.7,0
09-May-21,0.9,0
11-May-21,0.9,0.03
12-May-21,0.7,2.03
13-May-21,2.5,17.62
14-May-21,0.3,0
15-May-21,1.2,0
16-May-21,0.9,0
17-May-21,0,0
18-May-21,0.9,0
19-May-21,1,0.18
20-May-21,1.4,33.48
21-May-21,1.4,22.54
22-May-21,0.4,0.37
23-May-21,0.7,0
25-May-21,0.5,0
26-May-21,0.5,0
27-May-21,0.7,5.38
28-May-21,1.2,38.67
29-May-21,1.1,37.51
30-May-21,1.8,9.01
31-May-21,0.3,0
01-Jun-21,1.2,2.58
02-Jun-21,2.8,13.84
03-Jun-21,4.3,0
04-Jun-21,2.2,0
05-Jun-21,3.9,0.01
06-Jun-21,4.1,0
07-Jun-21,2,0
08-Jun-21,1.3,0.07
09-Jun-21,1.4,2.35
10-Jun-21,5.3,0.06
11-Jun-21,3.9,3.26
13-Jun-21,2.2,27.9
14-Jun-21,2.6,24.76
15-Jun-21,5,35.99
16-Jun-21,4.3,30.75
17-Jun-21,4.4,3.98
18-Jun-21,6.5,1.26
19-Jun-21,5.8,10.28
20-Jun-21,4.1,32.03
22-Jun-21,2.3,0.61
26-Jun-21,8.1,1.89
27-Jun-21,7.1,0.7
28-Jun-21,9.6,1.72
30-Jun-21,7.6,0.01
01-Jul-21,9.1,0
02-Jul-21,10.4,0
03-Jul-21,4.5,15.27
04-Jul-21,6.5,0.09
05-Jul-21,10.8,0.27
06-Jul-21,12.4,0.13
07-Jul-21,11.1,0.02
08-Jul-21,9.8,4.28
09-Jul-21,9.5,5.59
10-Jul-21,8.6,1.62
11-Jul-21,8.4,5.06
12-Jul-21,12.3,8.55
13-Jul-21,8.9,2.98
16-Jul-21,18.5,0
17-Jul-21,14.2,9.43
18-Jul-21,16.4,101.78
19-Jul-21,15.4,17.16
20-Jul-21,10.1,2.67
21-Jul-21,16.5,14.02
22-Jul-21,13.6,11.85
23-Jul-21,10.2,2.62
24-Jul-21,5,0.43
25-Jul-21,12.6,0.18
26-Jul-21,13.3,0.06
27-Jul-21,11.4,6.39
28-Jul-21,10,9.58
29-Jul-21,11.1,5.87
30-Jul-21,8.8,12.76
31-Jul-21,9,7.11
01-Aug-21,10,15.5
02-Aug-21,14.4,3.84
03-Aug-21,11.1,4.97
04-Aug-21,9,0.05
05-Aug-21,11,0.05
06-Aug-21,10,2.61
07-Aug-21,5.4,24.75
08-Aug-21,8.3,7.85
09-Aug-21,8.2,4.79
10-Aug-21,8.5,29.24
11-Aug-21,10.6,14.06
12-Aug-21,12.6,16.39
13-Aug-21,11,74.97
14-Aug-21,9.1,36.3
15-Aug-21,12.1,3.24
16-Aug-21,7.9,3.94
17-Aug-21,8.5,1.24
18-Aug-21,11.7,0.17
19-Aug-21,12.2,5.65
20-Aug-21,6,11.5
21-Aug-21,8.8,32.19
22-Aug-21,9.6,1.05
23-Aug-21,11.5,13.9
24-Aug-21,9.2,14.2
25-Aug-21,7,42.9
26-Aug-21,6.9,67.6
27-Aug-21,8.8,12.21
28-Aug-21,7,1.23
29-Aug-21,7.6,2.49
30-Aug-21,7.2,0.41
31-Aug-21,10.6,1.14
01-Sep-21,13.3,0.2
02-Sep-21,11,0.23
03-Sep-21,10.7,13.5
04-Sep-21,7,0.36
05-Sep-21,5.8,7.34
06-Sep-21,14.7,0.73
07-Sep-21,5,2.94
08-Sep-21,4.5,0.58
09-Sep-21,10.5,0.02
10-Sep-21,13.8,35.65
11-Sep-21,8.6,1.12
12-Sep-21,6.1,0.18
13-Sep-21,10.2,0.84
14-Sep-21,10.9,3.46
15-Sep-21,13.2,1.47
